Shopfront Name,Street Address,Suburb,Postcode,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Opening hours,Credit card,Debit card,Cash,Cheque,Sector,Website,Phone,Location 1
Belconnen Shopfront,"Swanson Plaza, Swanson Court ",Belconnen,2617,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Closed,Closed,Closed,Monday to Friday 9:00AM to 5:00PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"Swanson Plaza, Swanson Court
Belconnen, ACT 2617
(-35.238731999999999, 149.06884199999999)"
Building services Shopfront: Mitchell,"Mitchell Customer Service Centre, 8 Darling Street",Mitchell,2911,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,Closed,Closed,Closed,Monday to Friday 8:30AM to 4:30PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"Mitchell Customer Service Centre, 8 Darling Street
Mitchell, ACT 2911
(-35.220632000000002, 149.143553)"
Civic Driver Licence Service,"Civic Library, Civic Square, London Circuit",Canberra City,2600,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,Closed,Closed,Closed,Monday to Friday 10:00AM to 5:30PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"Civic Library, Civic Square, London Circuit
Canberra City, ACT 2600
(-35.281019000000001, 149.13010600000001)"
Community Business and Regulation shopfront: Fyshwick,255 Canberra Avenue,Fyshwick,2609,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,Closed,Closed,Closed,Monday to Friday 9.00AM to 4.30PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"255 Canberra Avenue
Fyshwick, ACT 2609
(-35.331780999999999, 149.16521)"
Dickson Shopfront,13-15 Challis Street,Dickson,2602,08:15-17:00,08:15-17:00,08:15-17:00,08:15-17:00,08:15-17:00,Closed,Closed,Closed,Monday to Friday 8:15AM to 5:00PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"13-15 Challis Street
Dickson, ACT 2602
(-35.250371999999999, 149.13493600000001)"
Environment Planning and Land Shopfront: Dickson,"Ground Floor South, Dame Pattie Menzies House, 16 Challis Street",Dickson,2602,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,Closed,Closed,Closed,Monday to Friday 8:30AM to 4:30PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"Ground Floor South, Dame Pattie Menzies House, 16 Challis Street
Dickson, ACT 2602
(-35.250827000000001, 149.13564299999999)"
Food Business licence Service: Holder,25 Mulley Street,Holder,2611,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,Closed,Closed,Closed,Monday to Friday 9:00AM to 4:30PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"25 Mulley Street
Holder, ACT 2611
(-35.331462000000002, 149.05002899999999)"
Gungahlin Service Centre,"Winyu House, 125 Gungahlin Place",Gungahlin,2912,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,Closed,Closed,Closed,Monday to Friday 8:00AM to 6:00PM (excluding public holidays),Yes,Yes,No,No,Government,http://www.accesscanberra.act.gov.au,132281,"Winyu House, 125 Gungahlin Place
Gungahlin, ACT 2912
(-35.187289999999997, 149.13513599999999)"
Tuggeranong Service Centre,"Homeworld Shopping Centre, Scollay Street",Tuggeranong,2900,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Closed,Closed,Closed,Monday to Friday 9:00AM to 5:00PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"Homeworld Shopping Centre, Scollay Street
Tuggeranong, ACT 2900
(-35.418149, 149.06684899999999)"
Woden Shopfront,"Woden Library, Corner of Furzer and Corinna Street",Woden,2606,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Closed,Closed,Closed,Monday to Friday 9:00AM to 5:00PM (excluding public holidays),Yes,Yes,Yes,Yes,Government,http://www.accesscanberra.act.gov.au,132281,"Woden Library, Corner of Furzer and Corinna Street
Woden, ACT 2606
(-35.344662, 149.08440999999999)"
